difficulty_level,condition,video_pairs,prompt_accuracy,strict_both_correct,accuracy_strict_gap_d,position_sensitive_rate,both_wrong_rate,both_correct_count,exactly_one_correct_count,both_wrong_count
5,audio_boundary,40,0.75,0.675,0.07499999999999996,0.15,0.175,27,6,7
5,low_boundary,40,0.7,0.6,0.09999999999999998,0.2,0.2,24,8,8
5,temporal_boundary,40,0.775,0.7,0.07500000000000007,0.15,0.15,28,6,6
5,visual_boundary,40,0.7375,0.65,0.08750000000000002,0.175,0.175,26,7,7
