source_file,dataset_name,dataset_version,difficulty_level,difficulty_name,feature_variant,size_scene_variant,base_sample_id,comparison,condition,baseline_condition,condition_accuracy,baseline_accuracy,difference,direction
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2_level_1_simple,ladder_v2,1,level_1_simple,,,7,visual_boundary_minus_low_boundary,visual_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2_level_1_simple,ladder_v2,1,level_1_simple,,,8,audio_boundary_minus_low_boundary,audio_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2_level_1_simple,ladder_v2,1,level_1_simple,,,8,temporal_boundary_minus_low_boundary,temporal_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2_level_1_simple,ladder_v2,1,level_1_simple,,,8,visual_boundary_minus_low_boundary,visual_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2_level_1_simple,ladder_v2,1,level_1_simple,,,9,audio_boundary_minus_low_boundary,audio_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2_level_1_simple,ladder_v2,1,level_1_simple,,,9,temporal_boundary_minus_low_boundary,temporal_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2_level_1_simple,ladder_v2,1,level_1_simple,,,9,visual_boundary_minus_low_boundary,visual_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2_level_1_simple,ladder_v2,1,level_1_simple,,,10,audio_boundary_minus_low_boundary,audio_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2_level_1_simple,ladder_v2,1,level_1_simple,,,10,temporal_boundary_minus_low_boundary,temporal_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2_level_1_simple,ladder_v2,1,level_1_simple,,,10,visual_boundary_minus_low_boundary,visual_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2_level_1_simple,ladder_v2,1,level_1_simple,,,11,audio_boundary_minus_low_boundary,audio_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2_level_1_simple,ladder_v2,1,level_1_simple,,,11,temporal_boundary_minus_low_boundary,temporal_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2_level_1_simple,ladder_v2,1,level_1_simple,,,11,visual_boundary_minus_low_boundary,visual_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2_level_1_simple,ladder_v2,1,level_1_simple,,,12,audio_boundary_minus_low_boundary,audio_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2_level_1_simple,ladder_v2,1,level_1_simple,,,12,temporal_boundary_minus_low_boundary,temporal_boundary,low_boundary,1.0,1.0,0.0,same
