condition,video_pairs,prompt_accuracy,strict_both_correct,accuracy_strict_gap_d,position_sensitive_rate,both_wrong_rate,both_correct_count,exactly_one_correct_count,both_wrong_count
audio_boundary,180,0.9444444444444444,0.8888888888888888,0.05555555555555558,0.1111111111111111,0.0,160,20,0
low_boundary,180,0.925,0.8555555555555555,0.06944444444444453,0.1388888888888889,0.005555555555555556,154,25,1
temporal_boundary,180,0.9472222222222222,0.8944444444444445,0.0527777777777777,0.10555555555555556,0.0,161,19,0
visual_boundary,180,0.8444444444444444,0.6944444444444444,0.15000000000000002,0.3,0.005555555555555556,125,54,1
