feature_variant,video_pairs,prompt_accuracy,strict_both_correct,accuracy_strict_gap_d,position_sensitive_rate,both_wrong_rate,both_correct_count,exactly_one_correct_count,both_wrong_count
color_only,120,0.9375,0.8833333333333333,0.054166666666666696,0.10833333333333334,0.008333333333333333,106,13,1
full,120,0.7916666666666666,0.5833333333333334,0.20833333333333326,0.4166666666666667,0.0,70,50,0
shape_only,120,0.8083333333333333,0.6166666666666667,0.19166666666666665,0.38333333333333336,0.0,74,46,0
