difficulty_level,condition,total,correct,accuracy
5,audio_boundary,240,206,0.8583333333333333
5,low_boundary,240,194,0.8083333333333333
5,temporal_boundary,240,210,0.875
5,visual_boundary,240,181,0.7541666666666667
