condition,video_pairs,prompt_accuracy,strict_both_correct,accuracy_strict_gap_d,position_sensitive_rate,both_wrong_rate,both_correct_count,exactly_one_correct_count,both_wrong_count
audio_boundary,120,0.8583333333333333,0.7583333333333333,0.09999999999999998,0.2,0.041666666666666664,91,24,5
low_boundary,120,0.8083333333333333,0.6666666666666666,0.14166666666666672,0.2833333333333333,0.05,80,34,6
temporal_boundary,120,0.875,0.7916666666666666,0.08333333333333337,0.16666666666666666,0.041666666666666664,95,20,5
visual_boundary,120,0.7541666666666667,0.5416666666666666,0.21250000000000002,0.425,0.03333333333333333,65,51,4
