feature_variant,video_pairs,prompt_accuracy,strict_both_correct,accuracy_strict_gap_d,position_sensitive_rate,both_wrong_rate,both_correct_count,exactly_one_correct_count,both_wrong_count
color_only,120,0.9291666666666667,0.875,0.054166666666666696,0.10833333333333334,0.016666666666666666,105,13,2
full,120,0.7916666666666666,0.5833333333333334,0.20833333333333326,0.4166666666666667,0.0,70,50,0
shape_only,120,0.8041666666666667,0.6166666666666667,0.1875,0.375,0.008333333333333333,74,45,1
size_only,120,0.7708333333333334,0.6833333333333333,0.08750000000000002,0.175,0.14166666666666666,82,21,17
